iteration,n_signaling_actions,n_final_actions,full_information,with_signals,Agent_0_Initial_NMI,Agent_0_NMI,Agent_0_avg_reward,Agent_0_final_reward,Agent_1_Initial_NMI,Agent_1_NMI,Agent_1_avg_reward,Agent_1_final_reward
0,2,4,False,False,0.5397479226217199,7.003803371094187e-05,0.4972,0.5,0.0398040333548173,4.396571741432931e-05,0.4964,0.53
0,2,4,False,True,0.2089505924280662,0.2369117107446108,0.4974,0.56,0.3635297437028846,0.0057627872207724,0.7505,0.75
0,2,4,True,False,0.0946772666526885,2.800860222621576e-05,0.993,1.0,0.2205288637825276,5.102825167007168e-05,0.991,1.0
0,2,4,True,True,0.5811220784516907,0.0954579340748146,0.9809,1.0,0.3356762976164155,0.0221892016041388,0.9829,1.0
1,2,4,False,False,0.2139164768861004,2.0282075356390788e-05,0.4986,0.47,0.0571840790284153,1.903911661067836e-05,0.4944,0.57
1,2,4,False,True,0.1937106194768069,0.0073533892884409,0.4834,0.61,0.201393818820963,0.0026691927114251,0.4919,0.53
1,2,4,True,False,0.2642631348012861,0.0001178065037652,0.9916,1.0,0.4672734696381778,5.90063137497869e-05,0.9908,1.0
1,2,4,True,True,0.1602465700860021,0.0279551683789069,0.9836,1.0,0.4392322948009282,0.0551430238894872,0.9825,1.0
2,2,4,False,False,0.1256211241457857,0.0002339859651605,0.4919,0.46,0.1809758825927286,2.569822377383897e-05,0.4933,0.52
2,2,4,False,True,0.180614764393217,0.2039599964839509,0.5087,0.45,0.0421312249120098,0.0022823339962979,0.7421,0.73
2,2,4,True,False,0.5730071577150009,0.0001080091707238,0.9908,1.0,0.3818085071312125,7.239016116842681e-06,0.9913,1.0
2,2,4,True,True,0.2916510252233689,0.0594616921899081,0.9808,0.99,0.3446851752282148,0.1058405166552473,0.981,0.99
3,2,4,False,False,0.1502530563433757,9.639084195105486e-06,0.4979,0.55,0.2435091967477272,8.656287190079584e-06,0.4934,0.63
3,2,4,False,True,0.2504492714746515,0.0574895053819703,0.533,0.65,0.3040959961474533,0.0254487927146312,0.5365,0.59
3,2,4,True,False,0.4705505853141031,7.282037290095206e-05,0.9895,1.0,0.1032307624062435,3.0147838948472305e-05,0.9909,1.0
3,2,4,True,True,0.4584715275137362,0.0697500948372192,0.9823,0.99,0.3648052367510048,0.081358480399276,0.9845,1.0
4,2,4,False,False,0.3502434069499719,0.0001350656562512,0.4951,0.59,0.191692428774941,0.0001311669314375,0.4928,0.54
4,2,4,False,True,0.0501404058063958,0.1473778018941138,0.7216,0.7,0.0585125980841892,0.2522923296119219,0.689,0.67
4,2,4,True,False,0.4853710869015697,0.0001062127392149,0.9899,1.0,0.398158328331606,2.515240493790592e-05,0.991,1.0
4,2,4,True,True,0.2539865992329523,0.0577958345065296,0.9826,0.99,0.2521798539585988,0.1296276928804458,0.9818,0.99
5,2,4,False,False,0.0207853233281358,7.573751507561456e-05,0.4921,0.41,0.0705767129437121,7.304513615871757e-06,0.5056,0.52
5,2,4,False,True,0.2330833313599806,0.0840743170765901,0.6776,0.7,0.0526929094291466,0.2229215891543397,0.6284,0.6
5,2,4,True,False,0.0750386207447261,0.0001018345983151,0.9926,1.0,0.4991116977152566,0.0002642858431803,0.991,1.0
5,2,4,True,True,0.0893785847052928,0.09380692712574,0.9829,1.0,0.1036257416887198,0.1331437320341005,0.983,1.0
6,2,4,False,False,0.1147310156596138,8.707234774467962e-05,0.4961,0.5,0.3481988057390723,5.877482971245954e-05,0.4933,0.57
6,2,4,False,True,0.0,0.3042135926426877,0.5327,0.46,0.0829606819054814,0.0249854010126366,0.7901,0.88
6,2,4,True,False,0.1721488163085031,2.035065652227049e-05,0.9893,1.0,0.2076687673757528,5.422862400778059e-05,0.9891,1.0
6,2,4,True,True,0.1036297456150255,0.068455925929462,0.9843,1.0,0.3607334322463001,0.0721534480957213,0.9824,1.0
7,2,4,False,False,0.0325798615946355,9.727571542139628e-06,0.4939,0.57,0.0628676288130214,2.7037418507779675e-08,0.4974,0.44
7,2,4,False,True,0.0665987190298839,0.6252715167369064,0.6175,0.61,0.2007938287583314,0.0711635229999934,0.9023,0.89
7,2,4,True,False,0.0560741843914707,7.28792367170397e-05,0.9905,1.0,0.2421144560642135,0.0001539897209208,0.9904,0.99
7,2,4,True,True,0.2245751552906122,0.1664947168147176,0.9828,1.0,0.1226933468744193,0.0974744023164992,0.984,1.0
8,2,4,False,False,0.1755534793564311,1.0813469295327032e-05,0.5002,0.59,0.027426105032732,0.0002044239324199,0.5018,0.42
8,2,4,False,True,0.4697546532644458,0.061534989363286,0.4962,0.37,0.4708340998868876,1.486759580075953e-05,0.577,0.6
8,2,4,True,False,0.3650102028440908,8.13662521908203e-05,0.9879,1.0,0.2785532979151205,1.1294101785328705e-05,0.9906,1.0
8,2,4,True,True,0.3351546061469175,0.0931190949711931,0.9832,0.99,0.3875234588497077,0.1390000097652824,0.9846,1.0
9,2,4,False,False,0.3589760496792181,6.429808876162954e-06,0.4944,0.52,0.1654264302009218,0.0002255618136543,0.5015,0.48
