iteration,n_signaling_actions,n_final_actions,full_information,with_signals,Agent_0_Initial_NMI,Agent_0_NMI,Agent_0_avg_reward,Agent_0_final_reward,Agent_1_Initial_NMI,Agent_1_NMI,Agent_1_avg_reward,Agent_1_final_reward
0,2,4,False,False,,,0.4939,0.4,,,0.4967,0.49
0,2,4,False,True,0.146260699863269,0.9591483645098016,0.9944,1.0,0.0852303437896253,0.9730778790922642,0.9935,1.0
0,2,4,True,False,,,0.9964,1.0,,,0.9964,1.0
0,2,4,True,True,0.050861037729337,0.4703649558457664,0.9937,1.0,0.050861037729337,0.4594991797420639,0.994,1.0
1,2,4,False,False,,,0.4938,0.48,,,0.5048,0.57
1,2,4,False,True,0.0739138486846872,0.9545208274270996,0.9934,1.0,0.0475902595669274,0.94332526532959,0.993,1.0
1,2,4,True,False,,,0.9964,1.0,,,0.9964,1.0
1,2,4,True,True,0.0868304338322131,0.3846458379686042,0.994,1.0,0.0868304338322131,0.0026446284568349,0.9942,1.0
2,2,4,False,False,,,0.5035,0.53,,,0.4905,0.55
2,2,4,False,True,0.0847417391025416,0.853916973090474,0.9806,1.0,0.1074766278232415,0.844749415317598,0.9727,1.0
2,2,4,True,False,,,0.9964,1.0,,,0.9964,1.0
2,2,4,True,True,0.1177818244662733,0.4404177083506351,0.9937,1.0,0.1042008321446059,0.3717401184267945,0.9931,1.0
3,2,4,False,False,,,0.5037,0.48,,,0.5044,0.48
3,2,4,False,True,0.052759075896774,0.8712901621059734,0.9835,1.0,0.0439501187183492,0.8660908198475036,0.9808,1.0
3,2,4,True,False,,,0.9964,1.0,,,0.9964,1.0
3,2,4,True,True,0.0690208167731721,0.4738937971768859,0.9937,1.0,0.0690208167731721,0.3784315940236077,0.994,1.0
4,2,4,False,False,,,0.4931,0.48,,,0.4952,0.48
4,2,4,False,True,0.0536845105926758,0.9664368348731918,0.995,1.0,0.1166000036796447,0.9721140368522097,0.9949,1.0
4,2,4,True,False,,,0.9964,1.0,,,0.9964,1.0
4,2,4,True,True,0.0591277636894886,0.4610075234300458,0.9937,1.0,0.0591277636894886,0.4622825848437383,0.9937,1.0
5,2,4,False,False,,,0.5081,0.46,,,0.5073,0.46
5,2,4,False,True,0.0342986177550085,0.0038865043404064,0.5222,0.56,0.0311454399207521,0.0088953179703926,0.5132,0.46
