iteration,n_signaling_actions,n_final_actions,full_information,with_signals,Agent_0_Initial_NMI,Agent_0_NMI,Agent_0_avg_reward,Agent_0_final_reward,Agent_1_Initial_NMI,Agent_1_NMI,Agent_1_avg_reward,Agent_1_final_reward
0,2,4,False,False,0.22072685746782214,0.9960715259899249,0.5038,0.41,0.040311861590195716,0.9960706671511709,0.4964,0.41
0,2,4,False,True,0.13237608829017583,1.1882923280110925e-08,0.5038,0.4,0.09511537001445192,7.833534950834245e-05,0.5042,0.41
0,2,4,True,False,0.024938986881969834,0.3531244054019729,0.7551,0.65,0.012469493440984917,0.34913179974374775,0.7463,0.84
0,2,4,True,True,0.06644273680985421,0.40349813702426546,0.9989,1.0,0.05397324336886929,0.40342050622784875,0.9984,1.0
1,2,4,False,False,0.05041059522258483,0.30886042702628064,0.2477,0.24,0.0322701939028759,0.9972477828812589,0.5015,0.48
1,2,4,False,True,0.13237608829017583,7.87678336027145e-05,0.4975,0.52,0.0870737023271321,3.369569373966763e-10,0.497,0.52
1,2,4,True,False,0.055152114839776445,0.34830585056088126,0.7458,0.76,0.042682621398791525,0.3506678069205416,0.7536,0.81
1,2,4,True,True,0.10995562326403263,7.556888088458423e-05,0.9986,1.0,0.09748612982304772,0.49434383904553997,0.9984,1.0
2,2,4,False,False,0.07757257986591966,2.5434638720309408e-05,0.4983,0.55,0.040311861590195716,0.9949745680111393,0.5024,0.54
2,2,4,False,True,0.13237608829017583,9.946611274033454e-09,0.9988,1.0,0.09511537001445192,0.9960706522964525,0.5001,0.45
2,2,4,True,False,0.07757257986591966,0.35243467924592,0.7531,0.81,0.040311861590195716,0.3511255134247416,0.7488,0.73
2,2,4,True,True,0.13237608829017583,7.052717515691516e-05,0.9987,1.0,0.09511537001445192,7.172327013781872e-05,0.9985,1.0
3,2,4,False,False,0.0343272598479452,2.551685889855517e-05,0.5001,0.42,0.10550943166845783,2.496782144339642e-05,0.4906,0.52
3,2,4,False,True,0.08913076827220139,0.9949704508910828,0.7554,0.69,0.0568605743693255,0.9905954541786712,0.7508,0.79
3,2,4,True,False,0.04230529628420956,0.3494282796611493,0.7442,0.73,0.02115264814210478,0.34942880696424,0.7442,0.73
3,2,4,True,True,0.11877226113761323,7.863251904622676e-05,0.9987,1.0,0.10753975974487691,7.863598685018446e-05,0.9987,1.0
4,2,4,False,False,0.06542616463155879,0.9948967474920147,0.4986,0.55,0.0322701939028759,2.520775192520899e-05,0.4943,0.41
4,2,4,False,True,0.08913076827220139,0.9960714495949727,0.5,0.48,0.0870737023271321,2.3960963355373925e-05,0.9989,1.0
4,2,4,True,False,0.07500428470270168,0.3496570236203889,0.7487,0.74,0.0,0.3504795037920542,0.7487,0.74
4,2,4,True,True,0.07500428470270168,4.875776627006594e-05,0.9986,1.0,0.058254017315293026,0.4943683246209685,0.9984,1.0
