iteration,n_signaling_actions,n_final_actions,full_information,with_signals,Agent_0_Initial_NMI,Agent_0_NMI,Agent_0_avg_reward,Agent_0_final_reward,Agent_1_Initial_NMI,Agent_1_NMI,Agent_1_avg_reward,Agent_1_final_reward
0,4,8,False,False,,,7.0968,7.09,,,6.2808,5.87
0,4,8,False,True,0.5085394849619871,0.532849543795528,6.9123,6.54,0.2234597000072657,0.3193277143524869,7.4977,7.64
0,4,8,True,False,,,7.6215,7.78,,,6.9636,7.09
0,4,8,True,True,0.4898371064961525,0.38290825732132,7.2472,7.17,0.3467460513385151,0.351999536949698,7.3187,7.47
1,4,8,False,False,,,5.8174,5.71,,,5.4665,5.4
1,4,8,False,True,0.4104673343976615,0.4166501082547191,6.3501,6.72,0.5995077206408892,0.5353228999610632,6.9953,6.97
1,4,8,True,False,,,6.5009,6.51,,,7.5298,7.62
1,4,8,True,True,0.7078722109083959,0.4422412015980465,6.5715,6.84,0.4115859178879125,0.2749214588535038,7.4838,7.76
2,4,8,False,False,,,6.5854,6.48,,,6.5104,6.28
2,4,8,False,True,0.685186503033238,0.5426951062219024,7.5368,7.56,0.7,0.797094195302488,7.2259,7.68
2,4,8,True,False,,,7.1974,7.13,,,7.3783,7.39
2,4,8,True,True,0.6240034116176221,0.3557872504791283,7.4731,7.4,0.7862079174675622,0.4204966244072958,7.2404,7.39
3,4,8,False,False,,,6.769,6.89,,,5.1958,5.27
3,4,8,False,True,0.5391172285601018,0.3683042428232903,6.8372,7.15,0.4535498054379119,0.3478335113220566,6.4872,6.69
3,4,8,True,False,,,7.1891,7.44,,,6.8735,6.93
3,4,8,True,True,0.533561992575256,0.4060375692413616,6.8097,6.92,0.4529171017438138,0.3108774468078453,6.891,7.02
4,4,8,False,False,,,6.2933,6.22,,,7.3457,7.59
4,4,8,False,True,0.1658598534447218,0.3260858881829634,6.3842,6.68,0.5981058547804425,0.493606458497151,6.8728,6.9
4,4,8,True,False,,,6.7774,7.06,,,8.013,8.3
4,4,8,True,True,0.275019088156163,0.2586807950770757,7.102,7.17,0.6144701719070532,0.2596879711499717,7.4841,7.79
5,4,8,False,False,,,6.1776,6.23,,,6.3279,6.13
5,4,8,False,True,0.5867517492442246,0.4787150663369627,6.0079,6.37,0.2194124582912552,0.4241140595196965,6.7804,6.86
5,4,8,True,False,,,6.9554,7.18,,,7.219,7.34
5,4,8,True,True,0.5548645876287748,0.3886899126193162,6.5676,6.77,0.3930064256601584,0.3911295492817883,7.1826,7.24
6,4,8,False,False,,,6.6735,6.94,,,6.6029,6.7
6,4,8,False,True,0.6481923758614947,0.4928229737874263,6.179,6.26,0.152598076386018,0.4195882251370002,6.8023,6.92
6,4,8,True,False,,,6.8073,6.93,,,6.8011,7.31
6,4,8,True,True,0.6448175358480187,0.2742058139689539,6.622,6.65,0.6288585691841921,0.4408612456046106,6.7538,7.03
7,4,8,False,False,,,6.7719,6.84,,,6.4681,6.55
7,4,8,False,True,0.3549316874715876,0.3093193826796379,6.9342,7.12,0.4880853790999978,0.4530974767028129,5.7164,6.17
7,4,8,True,False,,,7.002,7.27,,,6.8153,6.97
7,4,8,True,True,0.3340498487091467,0.2736002739561652,7.2246,7.38,0.5878047845928502,0.4244746744077349,6.6361,6.78
8,4,8,False,False,,,6.4862,6.54,,,6.6463,6.71
8,4,8,False,True,0.5711124655466883,0.3230078992821654,7.1477,7.69,0.7925329624484246,0.5945338706842054,6.8406,6.63
8,4,8,True,False,,,6.9228,7.04,,,6.9073,6.98
8,4,8,True,True,0.6110429780512255,0.2969509334210418,6.9672,7.15,0.7122206940314639,0.4438383788798454,7.9892,8.24
9,4,8,False,False,,,5.9794,6.44,,,5.8697,6.25
9,4,8,False,True,0.7116037467478781,0.3576386578796816,6.4581,7.0,0.4157295444062474,0.4741089733967801,6.8668,6.96
9,4,8,True,False,,,5.8649,6.22,,,8.037,8.13
9,4,8,True,True,0.7085232577948215,0.2673743854771,6.7637,6.91,0.4363911766692195,0.4502540007204645,6.9336,7.27
10,4,8,False,False,,,7.6514,7.32,,,6.7661,6.91
10,4,8,False,True,0.5036353999933748,0.3360863959573087,6.639,7.03,0.5419835927208023,0.3907140482712917,6.1105,6.26
10,4,8,True,False,,,7.3704,7.72,,,7.4695,7.48
10,4,8,True,True,0.4504245409588411,0.3143018560126913,7.0843,7.37,0.4943553848428306,0.4452034513905646,7.0098,6.87
11,4,8,False,False,,,5.8859,6.14,,,5.8552,6.23
