iteration,n_signaling_actions,n_final_actions,full_information,with_signals,Agent_0_Initial_NMI,Agent_0_NMI,Agent_0_avg_reward,Agent_0_final_reward,Agent_1_Initial_NMI,Agent_1_NMI,Agent_1_avg_reward,Agent_1_final_reward
0,4,8,False,False,0.353921760372041,0.0002075215982229,6.2198,6.22,0.6294231754329775,0.0002339690108959,8.2893,8.52
0,4,8,False,True,0.7026587175591958,0.6876722466192124,7.3884,7.23,0.5888966801374897,0.7007429100274599,8.0201,8.27
0,4,8,True,False,0.2711982054735134,0.0007315238882005,7.6873,7.79,0.4123184993361584,0.0003524481003671,8.7762,8.87
0,4,8,True,True,0.2844795494946752,0.5824157982955861,7.5449,7.66,0.59787485112312,0.4851239453945408,8.376,8.51
1,4,8,False,False,0.3843283995046159,0.0004666868913323,7.299,7.28,0.5527828631910701,0.0002254489938836,7.6885,7.82
1,4,8,False,True,0.31006293616542,0.6730321906556499,7.8624,7.94,0.4899924231357161,0.6970435599231878,7.7767,7.67
1,4,8,True,False,0.5343934476523299,0.0004211780873788,8.1851,8.26,0.5295102685730839,0.0004800706342413,8.4032,8.5
1,4,8,True,True,0.4840997201770111,0.292314720403132,7.7684,7.74,0.3003740658466921,0.3885736996852079,8.4189,8.63
2,4,8,False,False,0.2477256047293085,0.00018888514812,6.7028,6.91,0.3366062264958578,0.0004379058538669,7.1941,7.2
2,4,8,False,True,0.5105660088371257,0.6867635470502331,7.5112,7.79,0.6544373711787717,0.6983123740721939,8.2525,8.44
2,4,8,True,False,0.6299127654955142,0.0004322372302338,7.6859,7.76,0.5318992213942115,0.0005422378200443,8.4042,8.44
2,4,8,True,True,0.5175779019778942,0.5369381644648586,7.1572,7.28,0.5009966272653166,0.4320130769538254,8.171,8.18
3,4,8,False,False,0.6847602670619999,0.0002987144639819,6.3303,6.17,0.573688959926115,0.0002594167354416,6.8267,6.82
3,4,8,False,True,0.1168738948552205,0.68776672678894,7.6179,7.65,0.527678156107318,0.6817108415409407,8.0962,8.41
3,4,8,True,False,0.6435549280125952,0.0006628424155603,7.9001,7.93,0.3551537595738664,0.0004472309809437,8.6572,8.7
3,4,8,True,True,0.6853199221401887,0.5710674495991369,6.7254,6.89,0.3660084334042141,0.4784539949816578,8.6222,8.67
4,4,8,False,False,0.330049026850193,0.0002598126030251,6.9748,6.76,0.4660121440623106,0.000258329892312,7.5647,7.44
4,4,8,False,True,0.5156110757008042,0.7001009166984649,7.7639,7.94,0.6653367582724068,0.6842038790737931,7.6904,7.86
4,4,8,True,False,0.511785225681787,0.0004729558958133,7.8131,8.0,0.5669266374473126,0.0005381323959944,8.4117,8.47
4,4,8,True,True,0.3063462611405366,0.4025330693160315,7.9543,8.09,0.6524875296868806,0.5364439608797286,8.5231,8.6
5,4,8,False,False,0.5260908708610286,0.0001326629106585,7.4073,7.77,0.4110710144659887,0.000503590506791,6.3076,6.4
5,4,8,False,True,0.5838644142384084,0.47444252428961,7.7947,8.15,0.2230166962134583,0.910244398522862,6.0696,6.23
5,4,8,True,False,0.5523152764038325,0.0006605610628164,8.168,8.29,0.4990189191624017,0.000555024821143,7.9126,7.97
5,4,8,True,True,0.6356254420459291,0.5803495535124245,8.1301,8.24,0.731472344786767,0.5311893614426725,7.6469,7.76
6,4,8,False,False,0.6142615194682529,0.0002268438183034,6.9373,6.75,0.67014020672923,0.000383969466676,7.2012,7.41
6,4,8,False,True,0.6849370421634495,0.6857571839529855,7.4101,7.72,0.542316802680076,0.6918400390907807,7.4026,7.47
6,4,8,True,False,0.4542929093285517,0.0005152100667847,7.808,7.93,0.46840918678918,0.0007132648848884,7.5498,7.66
6,4,8,True,True,0.6552719371708046,0.4793366099028657,7.9936,8.03,0.2399500499044269,0.6028160277064225,6.9005,6.91
7,4,8,False,False,0.6041239239418862,0.0003867062396407,6.9595,6.97,0.4629807863515025,0.0001325200718286,7.2196,7.48
