iteration,n_signaling_actions,n_final_actions,full_information,with_signals,Agent_0_Initial_NMI,Agent_0_NMI,Agent_0_avg_reward,Agent_0_final_reward,Agent_1_Initial_NMI,Agent_1_NMI,Agent_1_avg_reward,Agent_1_final_reward
0,8,5,False,False,,,6.2359,6.34,,,6.2017,6.36
0,8,5,False,True,0.16901646410664325,0.9892075014188143,7.2177,7.28,0.14977738649077726,0.9902368319315401,8.1004,8.18
0,8,5,True,False,,,7.4712,7.5,,,8.114,8.18
0,8,5,True,True,0.13375235114463907,0.42444438789053857,7.4575,7.5,0.13375235114463907,0.3389799203898412,8.083,8.18
1,5,9,False,False,,,7.7441,7.74,,,7.6194,7.61
1,5,9,False,True,0.10710441712005137,0.7395127052164097,7.9767,7.96,0.16240622268672344,0.9913886624027088,7.7271,7.81
1,5,9,True,False,,,8.3466,8.53,,,8.3549,8.3
1,5,9,True,True,0.07575072704678838,0.730194620915037,8.3382,8.53,0.07575072704678838,1.412603585012939e-07,8.3283,8.3
2,2,5,False,False,,,7.0067,7.01,,,5.9867,5.95
2,2,5,False,True,0.09370860958830887,0.40226780111512467,7.372,7.36,0.07248068446636566,0.40039783991557476,6.7053,6.92
2,2,5,True,False,,,7.6218,7.63,,,7.855,7.9
2,2,5,True,True,0.059693677512166976,0.2647088253150017,7.6185,7.63,0.059693677512166976,0.26685043184491136,7.8509,7.9
3,8,6,False,False,,,5.7233,5.71,,,5.9581,6.26
3,8,6,False,True,0.1069181041830038,0.9887237625199221,7.3441,7.37,0.09445069967023888,0.9862544838125199,8.0864,8.04
3,8,6,True,False,,,8.2214,8.28,,,8.2222,8.19
3,8,6,True,True,0.08235982161930419,0.42088919216802373,8.1938,8.28,0.08235982161930419,0.17834963283958546,8.2051,8.19
4,5,8,False,False,,,6.4752,6.81,,,6.8775,7.17
4,5,8,False,True,0.11193671093799747,0.7392669355366799,8.3419,8.33,0.1357183610362672,0.9913877960372663,8.3295,8.47
4,5,8,True,False,,,8.3432,8.33,,,8.6005,8.65
4,5,8,True,True,0.07849177457726332,0.4882997274376693,8.3292,8.33,0.07849177457726332,0.3274487812721785,8.5805,8.65
5,2,6,False,False,,,6.4567,6.77,,,6.365,6.15
5,2,6,False,True,0.050253273105804595,0.49691647946288625,5.4829,5.8,0.05728921860574958,3.5210987202353627e-05,6.1392,5.93
5,2,6,True,False,,,7.9866,7.83,,,7.4941,7.31
5,2,6,True,True,0.0724093579578211,0.31391025493021635,7.9806,7.83,0.0724093579578211,5.039922464784913e-05,7.4869,7.31
6,6,7,False,False,,,6.3653,6.12,,,7.3461,7.5
6,6,7,False,True,0.12284098899031044,0.4032783051841469,6.6205,6.28,0.16586480584619467,0.7403011111169121,7.562,7.8
6,6,7,True,False,,,8.229,8.21,,,8.2113,8.3
6,6,7,True,True,0.14067441585864524,0.4191468831740714,8.206,8.21,0.14067441585864524,0.3355718153647492,8.192,8.3
7,8,7,False,False,,,7.6072,7.69,,,7.3562,7.34
7,8,7,False,True,0.1181437131688976,0.7450306821442858,8.0947,8.17,0.07032606310568687,0.7416492383435318,8.7174,8.75
7,8,7,True,False,,,8.5988,8.65,,,8.7303,8.75
7,8,7,True,True,0.09821796145140466,0.31294732610232157,8.5656,8.65,0.09821796145140466,0.5089169360454872,8.7034,8.75
8,6,7,False,False,,,6.4685,6.5,,,6.8614,6.72
8,6,7,False,True,0.17536452138654485,0.991444223936051,7.7181,7.78,0.1621327832204898,0.7414610527734227,8.4799,8.42
8,6,7,True,False,,,7.7241,7.78,,,8.4876,8.42
8,6,7,True,True,0.19798888592891012,0.5052445891220594,7.7106,7.78,0.19798888592891012,0.6498224647104448,8.4768,8.42
9,8,6,False,False,,,5.4946,5.37,,,7.1388,7.19
9,8,6,False,True,0.2967231304408375,0.7418575879907451,6.9831,7.08,0.2645439300732971,0.4962007703899808,7.8664,7.83
9,8,6,True,False,,,7.115,7.2,,,7.8742,7.83
9,8,6,True,True,0.14743545240169703,0.31155020261092153,7.0857,7.2,0.14743545240169703,0.26336126093742307,7.8475,7.83
10,4,7,False,False,,,6.2626,6.14,,,7.7356,7.61
10,4,7,False,True,0.31899720891817934,0.4052289972251835,6.8559,7.01,0.18070640829076864,0.39730400523033294,8.1068,7.99
10,4,7,True,False,,,8.1062,8.11,,,8.3598,8.28
10,4,7,True,True,0.1876085594966977,0.34393638604024973,8.0965,8.11,0.1876085594966977,0.3283891878600334,8.3546,8.28
11,4,5,False,False,,,5.3774,5.26,,,7.1295,7.12
11,4,5,False,True,0.1813969053391326,0.7431469938107013,6.7267,6.91,0.07950329098317824,0.992328129320933,7.3706,7.35
11,4,5,True,False,,,6.73,6.91,,,7.7404,7.53
11,4,5,True,True,0.08528301180754932,0.5714619615667152,6.7218,6.91,0.08528301180754932,0.18007603948803705,7.7276,7.53
12,5,9,False,False,,,6.3665,6.78,,,7.618,7.44
12,5,9,False,True,0.16680882052877594,0.9895883727365766,7.2093,7.58,0.15157058415503186,0.7424155105791727,8.7185,8.7
12,5,9,True,False,,,8.5867,8.51,,,8.7256,8.7
12,5,9,True,True,0.17284455833616946,0.34840103434391834,8.5612,8.51,0.17284455833616946,0.4232705202840607,8.7087,8.7
13,4,4,False,False,,,7.4947,7.61,,,6.7386,6.9
13,4,4,False,True,0.15970493663375743,0.7425657477490316,8.2349,8.35,0.14425648631482416,0.7390900640133325,7.6197,7.77
13,4,4,True,False,,,8.2404,8.35,,,7.6228,7.77
13,4,4,True,True,0.14916598799993913,0.3450781627483684,8.2305,8.35,0.14916598799993913,0.18592057596564657,7.6141,7.77
14,9,3,False,False,,,5.6371,5.76,,,5.8631,5.61
