label,color,seed,final_reward,final_nmi
"sig=[1,0]",tab:blue,0,0.992,1.0
"sig=[1,0]",tab:blue,1,0.99,1.0
"sig=[1,0]",tab:blue,2,0.995,1.0
"sig=[1,0]",tab:blue,3,0.993,1.0
"sig=[1,0]",tab:blue,4,0.993,1.0
"sig=[1,0]",tab:blue,5,0.995,1.0
"sig=[1,0]",tab:blue,6,0.997,1.0
"sig=[1,0]",tab:blue,7,0.994,1.0
"sig=[1,0]",tab:blue,8,0.995,1.0
"sig=[1,0]",tab:blue,9,0.993,1.0
"sig=[1,0]",tab:blue,10,0.995,1.0
"sig=[1,0]",tab:blue,11,0.996,1.0
"sig=[1,0]",tab:blue,12,0.998,1.0
"sig=[1,0]",tab:blue,13,0.994,1.0
"sig=[1,0]",tab:blue,14,0.998,1.0
"sig=[1,0]",tab:blue,15,0.993,1.0
"sig=[1,0]",tab:blue,16,0.995,1.0
"sig=[1,0]",tab:blue,17,0.992,1.0
"sig=[1,0]",tab:blue,18,0.995,1.0
"sig=[1,0]",tab:blue,19,0.996,1.0
"sig=[1,1]",tab:orange,0,0.853,0.5342735399648872
"sig=[1,1]",tab:orange,1,0.92,0.04120397627252671
"sig=[1,1]",tab:orange,2,0.641,0.6511583458004137
"sig=[1,1]",tab:orange,3,0.535,0.022698201463273917
"sig=[1,1]",tab:orange,4,0.666,0.0048965522734312865
"sig=[1,1]",tab:orange,5,0.923,0.00015254585321540523
"sig=[1,1]",tab:orange,6,0.778,0.09217482436495737
"sig=[1,1]",tab:orange,7,0.475,0.23626001032186394
"sig=[1,1]",tab:orange,8,0.485,0.1767060862263268
"sig=[1,1]",tab:orange,9,0.831,0.1849841953428251
"sig=[1,1]",tab:orange,10,0.624,0.0004938924299816398
"sig=[1,1]",tab:orange,11,0.506,0.03996845525045824
"sig=[1,1]",tab:orange,12,0.563,0.00922954507096934
"sig=[1,1]",tab:orange,13,0.558,0.0004719328762011481
"sig=[1,1]",tab:orange,14,0.809,0.034698252741429896
"sig=[1,1]",tab:orange,15,0.618,0.08072982243591992
"sig=[1,1]",tab:orange,16,0.548,0.024316933107227438
"sig=[1,1]",tab:orange,17,0.804,0.5018427005781275
"sig=[1,1]",tab:orange,18,0.56,0.029927030842347553
"sig=[1,1]",tab:orange,19,0.873,0.04915516268807893
"sig=[5,1]",tab:green,0,0.6,0.7055175494193597
"sig=[5,1]",tab:green,1,0.963,0.11267681517970614
"sig=[5,1]",tab:green,2,0.819,0.6855115450756425
"sig=[5,1]",tab:green,3,0.891,0.3509497651496711
"sig=[5,1]",tab:green,4,0.823,0.16598261319066857
"sig=[5,1]",tab:green,5,0.951,0.11639047629098857
"sig=[5,1]",tab:green,6,0.901,0.5644948756787723
"sig=[5,1]",tab:green,7,0.696,0.4941239571489537
"sig=[5,1]",tab:green,8,0.828,0.28745284839096497
"sig=[5,1]",tab:green,9,0.917,0.48468087440039737
"sig=[5,1]",tab:green,10,0.874,0.5168810490545129
"sig=[5,1]",tab:green,11,0.944,0.585719373042433
"sig=[5,1]",tab:green,12,0.624,0.3226169926930404
"sig=[5,1]",tab:green,13,0.982,0.87166918370782
"sig=[5,1]",tab:green,14,0.887,0.559847409177194
"sig=[5,1]",tab:green,15,0.673,0.058005030258015344
"sig=[5,1]",tab:green,16,0.705,0.43691358359949284
"sig=[5,1]",tab:green,17,0.853,0.1855157182349128
"sig=[5,1]",tab:green,18,0.85,0.5155008469464715
"sig=[5,1]",tab:green,19,0.941,0.9737158241933487
"sig=[100,1]",tab:red,0,0.988,0.9384983890221247
"sig=[100,1]",tab:red,1,0.979,0.9532360171105648
"sig=[100,1]",tab:red,2,0.989,0.9708601385349105
"sig=[100,1]",tab:red,3,0.981,0.9496898063639554
"sig=[100,1]",tab:red,4,0.993,0.9729215589580197
"sig=[100,1]",tab:red,5,0.994,0.9401672806764373
"sig=[100,1]",tab:red,6,0.978,0.9582942817083528
"sig=[100,1]",tab:red,7,0.981,0.8918832476886799
"sig=[100,1]",tab:red,8,0.99,0.8927110107221554
"sig=[100,1]",tab:red,9,0.984,0.9527380591847293
"sig=[100,1]",tab:red,10,0.985,0.8501872628885773
"sig=[100,1]",tab:red,11,0.975,0.9670704978652613
"sig=[100,1]",tab:red,12,0.997,0.8318212970636994
"sig=[100,1]",tab:red,13,0.987,0.9550768341533893
"sig=[100,1]",tab:red,14,0.991,0.9167279423712714
"sig=[100,1]",tab:red,15,0.987,0.8972629147800815
"sig=[100,1]",tab:red,16,0.988,0.9573575492254481
"sig=[100,1]",tab:red,17,0.987,0.8302682976856521
"sig=[100,1]",tab:red,18,0.978,0.9605356129318893
"sig=[100,1]",tab:red,19,0.987,0.9784493960695043
