iteration,n_signaling_actions,n_final_actions,full_information,with_signals,Agent_0_Initial_NMI,Agent_0_NMI,Agent_0_avg_reward,Agent_0_final_reward,Agent_1_Initial_NMI,Agent_1_NMI,Agent_1_avg_reward,Agent_1_final_reward
0,4,8,False,False,,,7.1399,7.11,,,8.3571,8.43
0,4,8,False,True,0.14963233611901597,0.9848588564503639,8.0894,8.05,0.14423067492568203,0.7457672195710167,8.3395,8.43
0,4,8,True,False,,,8.2247,8.2,,,8.3461,8.43
0,4,8,True,True,0.13375235114463907,0.42164210012055475,8.2131,8.2,0.13375235114463907,0.4901336267133848,8.3251,8.43
1,4,8,False,False,,,5.755,6.02,,,7.3698,7.53
1,4,8,False,True,0.10710441712005137,0.7367303277541748,6.3249,6.44,0.16240622268672344,0.49701281839108147,7.9747,8.14
1,4,8,True,False,,,8.2251,8.34,,,8.6027,8.65
1,4,8,True,True,0.07575072704678838,0.4239045821124316,8.2121,8.34,0.07575072704678838,0.26508793476207926,8.584,8.65
2,4,8,False,False,,,6.487,6.47,,,7.0527,7.1
2,4,8,False,True,0.12765692015924854,0.7391931725813372,7.7095,7.88,0.15626387053820628,0.745408900197145,6.9736,6.91
2,4,8,True,False,,,7.8342,7.97,,,8.5916,8.68
2,4,8,True,True,0.06856792414973245,0.4248207922462611,7.8216,7.97,0.06856792414973245,0.3454268753233892,8.5738,8.68
3,4,8,False,False,,,6.7421,6.93,,,6.7459,6.78
3,4,8,False,True,0.1069181041830038,0.9847418424501729,7.9637,7.96,0.09445069967023888,0.7380702375298606,7.473,7.46
3,4,8,True,False,,,7.9724,7.96,,,7.7332,7.74
3,4,8,True,True,0.08235982161930419,0.508529406980561,7.9624,7.96,0.08235982161930419,0.3388284210562119,7.7166,7.74
4,4,8,False,False,,,7.2428,7.35,,,7.3511,7.42
4,4,8,False,True,0.11193671093799747,0.3488507879159926,7.4073,7.58,0.1357183610362672,0.4048113334112851,7.1959,7.13
4,4,8,True,False,,,8.3357,8.38,,,7.9712,7.94
4,4,8,True,True,0.07849177457726332,0.6176862002248064,8.3246,8.38,0.07849177457726332,0.4243558276551196,7.9526,7.94
5,4,8,False,False,,,7.6153,7.29,,,6.9721,6.93
5,4,8,False,True,0.10622244311242054,0.7376456367314093,7.8574,7.6,0.12035685741154052,0.7354425388044362,7.4705,7.49
5,4,8,True,False,,,8.1043,7.9,,,8.0939,8.21
5,4,8,True,True,0.12803423907701644,0.425581691044869,8.0977,7.9,0.12803423907701644,0.4222090667981675,8.0761,8.21
6,4,8,False,False,,,6.9441,7.22,,,7.9874,7.98
6,4,8,False,True,0.12284098899031044,0.7398122519384144,8.1001,8.1,0.16586480584619467,0.7447472883889591,8.3592,8.27
6,4,8,True,False,,,8.1048,8.1,,,8.4892,8.41
6,4,8,True,True,0.14067441585864524,0.4260614410500672,8.0922,8.1,0.14067441585864524,0.32655515478733027,8.4721,8.41
7,4,8,False,False,,,7.1244,7.15,,,7.3628,7.34
7,4,8,False,True,0.1181437131688976,0.9917879979058989,7.4873,7.6,0.07032606310568687,0.7406640885417421,8.0988,8.15
7,4,8,True,False,,,7.9895,8.04,,,8.1023,8.15
7,4,8,True,True,0.09821796145140466,0.17611940376616983,7.9709,8.04,0.09821796145140466,0.45679539965628346,8.0864,8.15
8,4,8,False,False,,,6.601,6.57,,,7.2558,7.17
8,4,8,False,True,0.17536452138654485,0.7433789971440047,8.2088,8.24,0.15375087003647012,0.7389520786151867,8.2281,8.24
8,4,8,True,False,,,8.47,8.5,,,8.4816,8.5
8,4,8,True,True,0.19798888592891012,0.45936776768014836,8.4557,8.5,0.19798888592891012,0.2621302774171744,8.4695,8.5
9,4,8,False,False,,,7.8745,7.81,,,6.7645,6.46
9,4,8,False,True,0.22956266996942123,0.49441794475265766,8.0919,8.21,0.23222181457253077,0.7436260660316707,7.8501,7.71
9,4,8,True,False,,,8.3519,8.39,,,7.8535,7.71
9,4,8,True,True,0.14743545240169703,0.18152387353326035,8.3385,8.39,0.14743545240169703,0.5885822468632375,7.8415,7.71
10,4,8,False,False,,,8.1206,8.13,,,7.3741,7.47
10,4,8,False,True,0.31899720891817934,0.74201925361074,7.9788,8.05,0.18070640829076864,0.7349446729254887,7.715,7.73
10,4,8,True,False,,,8.6096,8.67,,,8.1005,8.12
10,4,8,True,True,0.1876085594966977,0.3408440176425646,8.5974,8.67,0.1876085594966977,0.45685703566735164,8.0912,8.12
11,4,8,False,False,,,5.9877,6.3,,,6.8364,6.97
11,4,8,False,True,0.17432627547792673,0.0008229449852401174,6.7126,7.1,0.07950329098317824,0.7363437141026615,6.131,6.21
11,4,8,True,False,,,7.7344,7.96,,,8.342,8.45
11,4,8,True,True,0.08528301180754932,0.33997136546198603,7.7081,7.96,0.08528301180754932,0.4245289383060633,8.3205,8.45
12,4,8,False,False,,,6.6149,6.5,,,6.2628,6.49
12,4,8,False,True,0.16680882052877594,0.7418916237168554,7.7317,7.81,0.15157058415503186,0.7447109332131681,7.1037,7.36
12,4,8,True,False,,,7.8557,7.91,,,8.3435,8.35
12,4,8,True,True,0.17284455833616946,0.42368846993544224,7.8445,7.91,0.17284455833616946,0.17490895439001997,8.3248,8.35
13,4,8,False,False,,,7.6226,7.78,,,7.014,7.27
13,4,8,False,True,0.15970493663375743,0.744504553699955,7.8598,8.06,0.14425648631482416,0.7416752539087217,7.5975,7.54
13,4,8,True,False,,,8.6044,8.67,,,8.3676,8.46
13,4,8,True,True,0.14916598799993913,0.5681957434810667,8.5929,8.67,0.14916598799993913,0.35157654454392373,8.3579,8.46
14,4,8,False,False,,,6.8946,6.62,,,6.5955,6.72
14,4,8,False,True,0.1014003381883315,0.0007703409538310743,8.4792,8.44,0.12290331789762272,0.7403761036854105,6.9578,7.06
14,4,8,True,False,,,8.4878,8.44,,,8.477,8.51
14,4,8,True,True,0.032741567526922595,0.4573553556902858,8.4778,8.44,0.032741567526922595,0.2649336780883234,8.4578,8.51
15,4,8,False,False,,,6.8573,7.47,,,7.3343,7.26
15,4,8,False,True,0.1724325353255191,0.7452675404709538,8.7167,8.76,0.15686046676977966,0.4970350600742515,7.5003,7.33
15,4,8,True,False,,,8.7209,8.76,,,8.2348,8.22
15,4,8,True,True,0.11286863066140762,0.48942222456941564,8.7005,8.76,0.11286863066140762,0.45417010319789447,8.2227,8.22
16,4,8,False,False,,,7.2274,7.26,,,6.8686,6.99
16,4,8,False,True,0.13233906078031077,0.4064305642953711,8.3256,8.28,0.13431985839513189,0.49646191417634633,7.343,7.23
16,4,8,True,False,,,8.331,8.28,,,7.8596,7.83
16,4,8,True,True,0.05893976478349201,0.2579900375032643,8.3128,8.28,0.05893976478349201,0.46077626930139304,7.8434,7.83
17,4,8,False,False,,,7.8622,7.92,,,6.8582,6.95
17,4,8,False,True,0.09064209211287196,0.4940785958806515,8.4714,8.51,0.1909051065619844,0.7439778414496585,6.5998,6.66
17,4,8,True,False,,,8.6012,8.64,,,8.104,8.23
17,4,8,True,True,0.07219504274139113,0.5074090542148464,8.5921,8.64,0.07219504274139113,0.3425824769438707,8.0864,8.23
18,4,8,False,False,,,6.7137,6.71,,,7.6268,7.83
18,4,8,False,True,0.13233906078031077,0.7385493912277253,7.9709,8.03,0.12284098899031044,0.7421952373658991,8.4298,8.49
18,4,8,True,False,,,8.102,8.13,,,8.8493,8.91
18,4,8,True,True,0.10337023789288087,0.42298909608929103,8.0885,8.13,0.10337023789288087,0.17676103567947274,8.8265,8.91
19,4,8,False,False,,,7.8597,7.93,,,7.2623,6.98
19,4,8,False,True,0.22677699794386172,0.7424176012882157,8.3395,8.45,0.15590297389608757,0.40186511156469173,7.7211,7.7
19,4,8,True,False,,,8.5933,8.69,,,7.8565,7.8
19,4,8,True,True,0.10177674578639742,0.422784849757515,8.5801,8.69,0.10177674578639742,0.3123040634809431,7.8369,7.8
20,4,8,False,False,,,6.1439,6.07,,,6.867,6.97
20,4,8,False,True,0.20008221011477514,0.3989285276132545,8.1007,8.05,0.1522406016851301,0.7393479757680922,7.4892,7.49
20,4,8,True,False,,,8.2329,8.19,,,8.4728,8.54
20,4,8,True,True,0.1499200819296406,0.2638914865796494,8.214,8.19,0.1499200819296406,0.4845664644278384,8.4571,8.54
21,4,8,False,False,,,7.3669,7.39,,,6.8943,7.43
21,4,8,False,True,0.11092889139431891,0.7451968567719274,7.8232,7.97,0.13833064560644703,0.7415822265380411,8.2259,8.31
21,4,8,True,False,,,8.106,8.21,,,8.2276,8.31
21,4,8,True,True,0.1113978803368261,0.5028077673203734,8.0911,8.21,0.1113978803368261,0.26606828372865277,8.2091,8.31
22,4,8,False,False,,,6.2186,6.15,,,7.0413,7.99
22,4,8,False,True,0.14303009191994492,0.7465583881988357,8.3419,8.46,0.09992874306739517,0.49550294279037105,8.3723,8.35
22,4,8,True,False,,,8.4712,8.6,,,8.6034,8.63
22,4,8,True,True,0.12803423907701644,0.5007517460228846,8.4503,8.6,0.12803423907701644,0.26480936728028276,8.5883,8.63
23,4,8,False,False,,,6.4822,5.99,,,7.7156,7.59
23,4,8,False,True,0.13094839131973152,0.7421447547587148,6.9478,6.74,0.17029554872953512,0.7418841519947634,8.0782,7.95
23,4,8,True,False,,,7.9658,7.75,,,8.082,7.95
23,4,8,True,True,0.16642109950639267,0.4195677536806894,7.9524,7.75,0.16890596139155398,0.3529842841812443,8.0625,7.95
24,4,8,False,False,,,6.9727,6.73,,,6.8254,6.79
24,4,8,False,True,0.12342770440784771,0.4970618274923651,7.5752,7.58,0.14709835004932387,0.9868929568891406,7.0484,6.99
24,4,8,True,False,,,7.7092,7.69,,,8.2201,8.26
24,4,8,True,True,0.15274044616782062,0.34150277928811534,7.6997,7.69,0.15274044616782062,0.5119460996656592,8.2008,8.26
25,4,8,False,False,,,7.4975,7.45,,,7.1006,7.25
25,4,8,False,True,0.19121739177885988,0.4027370774255875,7.7264,7.72,0.23617994878698387,0.7354988769188262,7.3383,7.48
25,4,8,True,False,,,8.3498,8.34,,,8.1031,8.08
25,4,8,True,True,0.17616868139865277,0.4187034326305974,8.3337,8.34,0.17616868139865277,0.5716740023482194,8.0877,8.08
26,4,8,False,False,,,7.4636,7.5,,,7.3641,7.45
