iteration,n_signaling_actions,n_final_actions,full_information,with_signals,Agent_0_Initial_NMI,Agent_0_NMI,Agent_0_avg_reward,Agent_0_final_reward,Agent_1_Initial_NMI,Agent_1_NMI,Agent_1_avg_reward,Agent_1_final_reward
0,4,8,False,False,0.3667105374684705,0.5000529903334355,5.1248,4.82,0.0,0.4066793510409063,6.732,6.65
0,4,8,False,True,0.3667105374684705,0.4981833195577782,5.9277,5.74,0.0,0.40411512519135956,5.8935,6.36
0,4,8,True,False,0.3667105374684705,0.6332285944997075,6.3112,6.46,0.03756270054055649,0.5776038900879412,6.4191,6.47
0,4,8,True,True,0.3667105374684705,0.46786504681400326,6.3744,6.36,0.03756270054055649,0.5185651493293074,7.0309,7.37
1,4,8,False,False,0.590855695151129,0.9974503355984197,5.2516,5.72,0.5807684320947365,0.7193815836403806,5.3646,5.83
1,4,8,False,True,0.590855695151129,0.7450527635557335,4.8726,5.05,0.33382221036417536,0.4083998659763451,5.5284,5.59
1,4,8,True,False,0.6242511665508432,0.5175832340474699,6.275,6.37,0.42671102300514685,0.5380891522723652,6.8588,7.29
1,4,8,True,True,0.6242511665508432,0.47885742197726605,6.2414,6.64,0.4475234561582947,0.4965713666751526,6.1345,6.43
2,4,8,False,False,0.67497966229399,0.401819629332938,5.8812,5.56,0.3,0.7484622248649627,6.17,5.87
2,4,8,False,True,0.67497966229399,0.4051302662359133,6.0096,5.94,0.3,0.4987744159319623,7.2451,6.89
2,4,8,True,False,0.67497966229399,0.5203767134743396,7.3004,7.28,0.7,0.49866588932885575,6.5399,6.11
2,4,8,True,True,0.67497966229399,0.31532204883670595,7.0368,6.87,0.7,0.49281249119321724,6.4026,6.29
3,4,8,False,False,0.4992929669112143,0.6305738598056873,4.9241,4.78,0.2742511665508433,0.7441995766346658,4.9026,4.16
3,4,8,False,True,0.5659596335778809,0.705715211085626,5.9604,6.13,0.2742511665508433,0.40981815138533156,6.4395,6.08
3,4,8,True,False,0.5969677835653961,0.6252169817126398,5.6508,5.67,0.28142190821126756,0.43463728978669314,6.3302,6.24
3,4,8,True,True,0.5969677835653961,0.5209945416521696,5.0615,5.09,0.28142190821126756,0.6170752620701907,6.4498,6.2
4,4,8,False,False,0.1713371623762101,0.38786565295226405,4.9807,5.0,0.5931438835704219,0.4806435594102512,4.8964,4.42
4,4,8,False,True,0.11877226113761323,0.41011077552276604,5.3649,5.51,0.5749796622939899,0.4239047749246562,3.9837,4.23
4,4,8,True,False,0.29804306701353706,0.4679545979031633,7.1042,7.19,0.6083751336937043,0.501806020971406,4.9698,4.86
4,4,8,True,True,0.25641820070724136,0.34272372856213595,7.1455,7.26,0.6083751336937043,0.6297853295333796,5.9825,6.09
5,4,8,False,False,0.6282035308561397,0.6681073046929487,4.6692,4.76,0.0568605743693255,0.4077258964700261,5.3993,5.67
5,4,8,False,True,0.6282035308561397,0.6852833962251259,5.1262,5.34,0.17241002676113226,0.7471880774689583,5.0547,5.3
5,4,8,True,False,0.6282035308561397,0.42381358198149466,5.93,6.31,0.2618543911382911,0.4719397199264511,5.9798,6.14
5,4,8,True,True,0.6282035308561397,0.46218066589485074,5.8442,6.12,0.23557194051899272,0.5622605803805405,5.1427,5.27
6,4,8,False,False,0.6242511665508432,0.9563615451831196,5.8049,6.21,0.20223860718565936,0.742276325761785,6.228,6.39
6,4,8,False,True,0.6242511665508432,0.7435947238174407,7.6204,7.6,0.20223860718565936,0.745951674856879,5.5402,5.73
6,4,8,True,False,0.6314219082112675,0.5957792144926068,5.5886,5.24,0.5314219082112676,0.5171019189498596,6.4122,6.36
6,4,8,True,True,0.6314219082112675,0.571473028218037,7.1027,6.84,0.5314219082112676,0.6313429649903242,6.4603,6.7
7,4,8,False,False,0.07726851120972887,0.6977006286762548,4.7025,4.55,0.21360676759269426,0.40104611767761,6.8555,6.82
7,4,8,False,True,0.24967370594706254,0.4075173296878901,6.3486,6.65,0.45880325916843806,0.7519277089407964,5.5212,5.49
7,4,8,True,False,0.07726851120972887,0.4977600675933242,6.4086,6.49,0.20223860718565936,0.4254905428065291,5.8876,6.03
7,4,8,True,True,0.24967370594706254,0.48392170486351554,6.8368,7.21,0.47371754938070165,0.6317026066799909,6.1017,6.32
8,4,8,False,False,0.67497966229399,0.752271614991981,4.204,3.72,0.7,0.7497750460581171,5.5607,5.6
8,4,8,False,True,0.569437846029385,0.7492763079899041,5.4831,5.0,0.7,0.40452164301511756,4.9829,4.98
8,4,8,True,False,0.67497966229399,0.6294919737039594,5.1154,4.83,0.7,0.6640173063214913,5.5524,5.17
8,4,8,True,True,0.569437846029385,0.49279433223323893,6.1828,5.75,0.7,0.6135037383080255,5.6136,5.78
9,4,8,False,False,0.6865076135532625,0.4066292889086957,5.8817,5.71,0.05265894320389627,0.8540015921828377,6.1537,6.26
9,4,8,False,True,0.8,0.9950931200565892,7.9136,7.72,0.2023643822238534,0.49934102640884764,5.7854,5.55
9,4,8,True,False,0.8,0.5924475934141803,7.3536,7.28,0.05265894320389627,0.5008501419286081,5.7515,6.45
9,4,8,True,True,0.8,0.5773063166318338,6.467,6.16,0.2023643822238534,0.4636672567817508,6.6351,6.57
10,4,8,False,False,0.24465393857874912,0.6769668441776594,5.892,6.23,0.34743509876140316,0.9974449426430105,5.5601,5.64
10,4,8,False,True,0.14967370594706256,0.9938612320710589,4.9184,5.05,0.47371754938070165,0.4061595737532094,5.8994,6.1
10,4,8,True,False,0.24465393857874912,0.6259094454420885,6.3486,6.3,0.34743509876140316,0.6341230085822372,6.2338,6.53
10,4,8,True,True,0.14967370594706256,0.6041193379119947,6.1527,6.48,0.47371754938070165,0.6257422657087399,6.3577,6.3
11,4,8,False,False,0.6474350987614033,0.4057528149108933,5.2472,4.98,0.1,0.7526325352462532,5.9196,5.98
11,4,8,False,True,0.6474350987614033,0.40387815920120373,7.402,7.29,0.0445928198621485,0.7454239531852411,6.8329,6.88
11,4,8,True,False,0.6474350987614033,0.4676263289520928,7.2922,7.28,0.6737175493807015,0.5199264744633464,6.6627,6.45
11,4,8,True,True,0.6474350987614033,0.5115093974075742,5.1561,5.13,0.6737175493807015,0.6278820642894045,6.6017,6.61
12,4,8,False,False,0.8,0.64788823355038,4.8688,5.12,0.5432538067766313,0.7212335414522599,5.8912,5.7
12,4,8,False,True,0.8,0.7510635154543301,6.1998,6.55,0.7,0.7471779511145626,5.8809,5.53
12,4,8,True,False,0.8,0.6308664562917405,5.3261,4.94,0.5200325306708007,0.6553910775583169,6.9614,6.94
12,4,8,True,True,0.8,0.6313235783267548,7.1235,7.05,0.5200325306708007,0.5817453941043127,6.286,6.42
13,4,8,False,False,0.02019746726477822,0.7482327128827447,5.3615,5.43,0.01009873363238911,0.37115863240595226,6.2722,6.52
13,4,8,False,True,0.19999999999999993,0.49824278113809284,3.8725,3.78,0.01009873363238911,0.4994193208548273,5.2931,5.45
13,4,8,True,False,0.02019746726477822,0.629306176800197,5.105,5.16,0.01009873363238911,0.42969789766596944,6.0055,6.48
13,4,8,True,True,0.19999999999999993,0.43972756534421964,4.3984,4.53,0.01009873363238911,0.43072250326338724,4.9529,5.08
14,4,8,False,False,0.34164632896065655,0.7454150731520305,7.7956,8.0,0.7,0.2945599085864925,6.0487,6.04
14,4,8,False,True,0.13800513875410284,0.9951007481534343,5.4852,5.56,0.7,0.49816518611634536,5.3692,5.34
14,4,8,True,False,0.5048871091449982,0.5099005678488536,6.8396,6.73,0.6791875668468521,0.6314153561783143,6.6893,6.92
14,4,8,True,True,0.6343725550438181,0.5850657179983506,6.7779,7.2,0.6791875668468521,0.33253817127552254,5.1588,5.1
15,4,8,False,False,0.4,0.9980856210512333,7.7778,7.83,0.13382221036417533,0.45660211746993384,6.6429,6.82
15,4,8,False,True,0.4,0.7511531828751709,7.4339,8.12,0.13382221036417533,0.984161566453212,6.4564,6.5
15,4,8,True,False,0.8,0.665104512381784,7.5968,7.84,0.13382221036417533,0.49592981512225764,6.6364,6.74
15,4,8,True,True,0.5355719405189927,0.4801018626051853,5.5857,5.5,0.13382221036417533,0.5982531411934267,6.9348,6.74
16,4,8,False,False,0.27241002676113224,0.7487131182971729,6.8781,6.96,0.7,0.7480942408795004,5.948,5.74
16,4,8,False,True,0.18337107477344855,0.4010732681766237,7.2286,7.4,0.7,0.5276418986488118,4.8953,5.06
16,4,8,True,False,0.22983341244832572,0.6327478107360797,7.3698,7.4,0.7,0.498508569020672,6.3882,6.11
