iteration,n_signaling_actions,n_final_actions,full_information,with_signals,Agent_0_Initial_NMI,Agent_0_NMI,Agent_0_avg_reward,Agent_0_final_reward,Agent_1_Initial_NMI,Agent_1_NMI,Agent_1_avg_reward,Agent_1_final_reward
0,2,2,False,False,0.2035667468693453,2.0537649081992805e-05,3.9828,3.79,0.0787947752643381,3.6283550618250756e-08,3.9718,3.79
0,2,2,False,True,0.0589176403143947,0.4973933783301369,6.3703,6.61,0.0322701939028759,0.3985063806755202,5.3392,5.5
0,2,2,True,False,0.1298077931269579,0.2715507924191389,3.9828,3.79,0.1130575257395492,0.1816857911916694,3.9718,3.79
0,2,2,True,True,0.1298077931269579,1.982823747123126e-07,6.3735,6.61,0.1130575257395492,1.983435138079222e-07,5.3385,5.5
1,4,3,False,False,0.1187722611376132,0.4215468110316516,4.3553,4.49,0.1269409730695575,0.4165707228730206,6.2459,6.76
1,4,3,False,True,0.1187722611376132,0.7444257975499441,5.9747,6.17,0.1269409730695575,0.443585848519257,7.364,7.64
1,4,3,True,False,0.0335005347748173,0.3784677622168547,4.8537,4.81,0.0167502673874086,0.4277611295827047,7.3688,7.65
1,4,3,True,True,0.0335005347748173,0.1783486378826481,6.2432,6.55,0.0167502673874086,1.029222425504582e-07,7.4857,7.73
2,8,9,False,False,0.1298077931269579,0.9929098383104672,6.8863,6.6,0.0527362513206207,0.7476393868323399,6.0667,6.37
2,8,9,False,True,0.1298077931269579,0.9906617261994838,8.4452,8.49,0.0527362513206207,0.7421251848215336,8.5704,8.65
2,8,9,True,False,0.0,0.7106538479523619,8.4756,8.49,0.0,0.704799577632498,7.607,7.76
2,8,9,True,True,0.0,0.2668203441661369,8.4228,8.49,0.0,0.3445525241637479,8.5447,8.65
3,8,5,False,False,0.0750042847027016,0.2649289116965969,6.7261,6.94,0.058254017315293,0.0827034877389476,5.7466,5.99
3,8,5,False,True,0.0750042847027016,0.7426644709122631,7.9784,8.16,0.058254017315293,0.405345599702636,6.2391,6.37
3,8,5,True,False,0.0,0.3504161165426683,7.1026,7.37,0.0,0.4254771591760362,6.7515,6.84
3,8,5,True,True,0.0,0.3499279158293781,8.0873,8.29,0.0,0.2662333048164828,6.9674,7.12
4,4,5,False,False,0.063968752713357,0.4060123034560474,5.3124,5.48,0.0527362513206207,0.4017678114906516,6.7412,6.26
4,4,5,False,True,0.063968752713357,0.7447253253857928,7.6221,7.68,0.0527362513206207,0.7465393359770681,7.8578,7.57
4,4,5,True,False,0.063968752713357,0.4667664382231787,7.2361,7.42,0.0527362513206207,0.4273643973934817,7.7427,7.37
4,4,5,True,True,0.063968752713357,1.2541574878642644e-07,8.2346,8.24,0.0527362513206207,0.2675734706573743,7.977,7.72
5,8,9,False,False,0.0900165450980083,0.7466647565066415,7.8764,7.83,0.0527362513206207,0.9873582768221454,8.1165,8.12
5,8,9,False,True,0.0900165450980083,0.7439141016262877,8.2715,8.32,0.0527362513206207,0.6481088067323449,8.7092,8.67
5,8,9,True,False,0.063968752713357,0.5809759253981016,8.614,8.57,0.0527362513206207,0.633024358907377,7.9939,7.95
5,8,9,True,True,0.063968752713357,0.3496783644339703,8.6911,8.7,0.0527362513206207,1.4447480368120944e-06,8.7018,8.67
6,2,5,False,False,0.0750042847027016,5.316140392215231e-09,5.7849,6.07,0.0721374646453013,4.528848353895047e-09,7.402,7.11
