iteration,n_signaling_actions,n_final_actions,full_information,with_signals,Agent_0_Initial_NMI,Agent_0_NMI,Agent_0_avg_reward,Agent_0_final_reward,Agent_1_Initial_NMI,Agent_1_NMI,Agent_1_avg_reward,Agent_1_final_reward
0,2,4,False,False,,,0.4977,0.41,,,0.4946,0.41
0,2,4,False,True,0.4876747456296544,0.2594310924730561,0.8653,0.89,0.0062209480013364,0.5062946985973829,0.7634,0.77
0,2,4,True,False,,,0.9907,0.99,,,0.991,1.0
0,2,4,True,True,0.5022185552716795,0.1325537216126092,0.9781,1.0,0.0181083855175085,0.1271545420597234,0.9811,1.0
1,2,4,False,False,,,0.4901,0.41,,,0.4885,0.49
1,2,4,False,True,0.268871488018876,0.0771461859893462,0.7995,0.68,0.3917816182568433,0.3770662379351629,0.5721,0.54
1,2,4,True,False,,,0.9881,1.0,,,0.9902,0.99
1,2,4,True,True,0.339927128678727,0.0238873359772762,0.9853,1.0,0.2083485635951604,0.2240552215817303,0.9802,1.0
2,2,4,False,False,,,0.4916,0.57,,,0.4987,0.56
2,2,4,False,True,0.7,0.0211844581853448,0.5713,0.55,0.7045382783428957,0.0299101387585551,0.5409,0.48
2,2,4,True,False,,,0.9897,1.0,,,0.9916,1.0
2,2,4,True,True,0.3633088175633098,0.0625360487965237,0.9804,1.0,0.4563667052495984,0.0356792960795099,0.9788,1.0
3,2,4,False,False,,,0.4903,0.47,,,0.4922,0.58
3,2,4,False,True,0.0560374967305556,0.2522678398260265,0.7285,0.77,0.2483998190286014,0.1923500825851118,0.71,0.69
3,2,4,True,False,,,0.9896,1.0,,,0.9895,1.0
3,2,4,True,True,0.4989633601961905,0.0699268017085526,0.9811,1.0,0.2309826428515002,0.0764605206314809,0.9829,1.0
4,2,4,False,False,,,0.4886,0.47,,,0.5012,0.64
4,2,4,False,True,0.0902769798773065,1.6308405497790928e-05,0.5109,0.55,0.0448760698852169,0.0115963909718478,0.4908,0.6
4,2,4,True,False,,,0.9891,1.0,,,0.9884,1.0
4,2,4,True,True,0.1299716672412336,0.0671862634348443,0.9807,1.0,0.1482832409795203,0.0470621544883546,0.9824,1.0
5,2,4,False,False,,,0.5005,0.51,,,0.4976,0.52
5,2,4,False,True,0.4437995913984269,0.0238516935960527,0.7391,0.83,0.0983167108007883,0.2113771107960141,0.5615,0.58
5,2,4,True,False,,,0.9907,1.0,,,0.9925,1.0
5,2,4,True,True,0.283859309832239,0.0349658437464213,0.9842,0.99,0.0961706854850481,0.1461461908689887,0.9832,1.0
6,2,4,False,False,,,0.4987,0.53,,,0.4978,0.5
6,2,4,False,True,0.3008902152090711,0.0708204197624254,0.7119,0.71,0.4137527604243972,0.2203264757833475,0.6083,0.57
6,2,4,True,False,,,0.9904,1.0,,,0.9902,1.0
6,2,4,True,True,0.2794573439076775,0.120918926188903,0.9847,1.0,0.6074389192368574,0.1106641973741869,0.9814,1.0
7,2,4,False,False,,,0.5,0.52,,,0.4932,0.54
7,2,4,False,True,0.0971341076827263,0.1446988167682678,0.5288,0.57,0.0737978068721203,0.011393811973205,0.6906,0.68
7,2,4,True,False,,,0.9885,1.0,,,0.9916,1.0
7,2,4,True,True,0.1010587398627467,0.0958128643370157,0.9829,0.99,0.0754633420186389,0.0382159809217853,0.9829,1.0
8,2,4,False,False,,,0.4989,0.52,,,0.4995,0.53
8,2,4,False,True,0.5152597316393303,6.138913021084115e-05,0.5929,0.61,0.1774645519875831,0.0776481825814705,0.5014,0.5
8,2,4,True,False,,,0.9925,1.0,,,0.9913,1.0
8,2,4,True,True,0.4438105786644793,0.1600688251673916,0.9832,0.99,0.3287566786846452,0.1654041958227989,0.9813,1.0
9,2,4,False,False,,,0.5004,0.49,,,0.4916,0.47
9,2,4,False,True,0.1157137012700808,0.4015782541017335,0.5647,0.54,0.1733706999694076,0.0646812319491816,0.8197,0.81
9,2,4,True,False,,,0.9916,1.0,,,0.9888,1.0
9,2,4,True,True,0.0989929186229799,0.1241750186297374,0.9795,0.99,0.2415648293695877,0.2581736690497454,0.9804,1.0
0,2,4,False,False,,,0.4916,0.54,,,0.4931,0.53
0,2,4,False,True,0.4715129632748301,0.0252948970374202,0.4932,0.51,0.0062209480013364,0.00010443586316,0.4925,0.47
0,2,4,True,False,,,0.9894,0.99,,,0.9896,1.0
0,2,4,True,True,0.4909414010676637,0.0983023591319128,0.9803,1.0,0.0181083855175085,0.086898105026484,0.9813,1.0
1,2,4,False,False,,,0.4967,0.52,,,0.4911,0.46
1,2,4,False,True,0.4737126868918326,0.1651144450745862,0.753,0.78,0.3917816182568433,0.2261978669132008,0.7041,0.68
1,2,4,True,False,,,0.9899,1.0,,,0.9901,1.0
1,2,4,True,True,0.3755853746871093,0.2061893454629715,0.9805,1.0,0.2083485635951604,0.0326420519827516,0.9847,1.0
2,2,4,False,False,,,0.4946,0.42,,,0.4974,0.45
2,2,4,False,True,0.3273804653911282,0.6853215077271595,0.4932,0.48,0.7045382783428957,0.0005643713754759,0.9236,0.93
2,2,4,True,False,,,0.9873,1.0,,,0.991,1.0
2,2,4,True,True,0.3633088175633098,0.217846590374055,0.9799,1.0,0.4284574225011231,0.1173014047658316,0.9828,1.0
3,2,4,False,False,,,0.5002,0.49,,,0.4874,0.49
3,2,4,False,True,0.0719993508199303,0.0182035761767358,0.8198,0.84,0.3832952808379029,0.3629449830862635,0.516,0.58
3,2,4,True,False,,,0.9891,1.0,,,0.9909,1.0
3,2,4,True,True,0.5794063637135392,0.0297380308753985,0.9847,1.0,0.2309826428515002,0.1459161944704175,0.9844,1.0
4,2,4,False,False,,,0.4844,0.47,,,0.4981,0.42
4,2,4,False,True,0.0940429476653987,0.1722581680757189,0.7622,0.85,0.0448760698852169,0.2458907339107799,0.7165,0.7
4,2,4,True,False,,,0.9894,1.0,,,0.9898,0.99
4,2,4,True,True,0.14112553604517,0.0715205274906336,0.9807,0.99,0.1482832409795203,0.1996749088222365,0.9841,1.0
5,2,4,False,False,,,0.4981,0.49,,,0.4946,0.47
5,2,4,False,True,0.4437995913984269,0.0519536494084198,0.8581,0.9,0.0983167108007883,0.4701470427983104,0.5892,0.65
5,2,4,True,False,,,0.9898,1.0,,,0.9928,0.99
5,2,4,True,True,0.283859309832239,0.043431576551756,0.9817,1.0,0.0961706854850481,0.1545764255372398,0.9842,1.0
6,2,4,False,False,,,0.5045,0.55,,,0.494,0.49
6,2,4,False,True,0.3008902152090711,0.306087072725439,0.586,0.62,0.1533849318394645,0.04948045293167,0.7489,0.72
6,2,4,True,False,,,0.9912,1.0,,,0.9909,1.0
6,2,4,True,True,0.2794573439076775,0.1367237234305871,0.985,1.0,0.6074389192368574,0.0541943459097431,0.9836,1.0
7,2,4,False,False,,,0.4961,0.39,,,0.4981,0.47
7,2,4,False,True,0.0971341076827263,0.099453130155973,0.5146,0.45,0.0975323860326083,0.0173802498292707,0.5734,0.61
7,2,4,True,False,,,0.9911,1.0,,,0.9904,1.0
7,2,4,True,True,0.0993369551643401,0.0770553082773859,0.9801,0.99,0.1019814294880878,0.0284991624528962,0.9826,1.0
8,2,4,False,False,,,0.4965,0.53,,,0.4978,0.52
8,2,4,False,True,0.5152597316393303,0.0343027451567356,0.5259,0.58,0.1509115101485863,0.0316149604423449,0.5579,0.51
8,2,4,True,False,,,0.9943,1.0,,,0.9885,1.0
8,2,4,True,True,0.4952533198889345,0.0443345915516449,0.9798,1.0,0.3287566786846452,0.1628886108784581,0.9845,1.0
9,2,4,False,False,,,0.4933,0.49,,,0.5107,0.53
9,2,4,False,True,0.0,0.1963658398402822,0.5783,0.68,0.1536733640388914,0.0595625997736204,0.6481,0.68
9,2,4,True,False,,,0.9867,0.99,,,0.9908,1.0
9,2,4,True,True,0.0,0.0819798158642659,0.9805,0.99,0.2320829964780505,0.1628310688429185,0.9829,1.0
10,2,4,False,False,,,0.4918,0.5,,,0.4941,0.55
10,2,4,False,True,0.1416042772430293,0.0092043177147812,0.5214,0.59,0.0285507411768696,0.0308914668559182,0.5107,0.54
10,2,4,True,False,,,0.9894,1.0,,,0.9864,0.99
