iteration,n_signaling_actions,n_final_actions,full_information,with_signals,Signal_Cost_A0,Signal_Cost_A1,Agent_0_Initial_NMI,Agent_0_NMI,Agent_0_avg_reward,Agent_0_final_reward,Agent_1_Initial_NMI,Agent_1_NMI,Agent_1_avg_reward,Agent_1_final_reward
0,2,4,False,True,0.24562211220251717,0.0005735633329864709,0.27241135684836015,0.06566473491564069,0.5438047009907048,0.5877188943898741,0.5012248811850362,0.027589711251369584,0.5461886124665216,0.4897591034001457
1,2,4,False,True,0.33069550277605586,0.439350135601165,0.8628236442198777,6.290357311356851e-06,0.5040072892572488,0.61,0.2836201317069605,0.007593837763934931,0.4932989535490675,0.48
2,2,4,False,True,0.2481211386301429,0.3380369825683498,0.7000000000000001,0.00479260503495552,0.4645216833540812,0.5451127316821914,0.33473501697227526,0.00085411093244152,0.4720196927505518,0.43
3,2,4,False,True,0.08752119016665477,0.28367378451558106,0.08294349376014751,0.045901530102430865,0.48611321154993437,0.5047487285900008,0.14806121369123915,0.002119812187503482,0.4971383658343252,0.53
4,2,4,False,True,0.30901426930304593,0.05111299072686237,0.11981558789237404,0.009470858875206066,0.842544617352921,0.94,0.3183815054357289,0.44603051495458573,0.4736962573049563,0.4972876859348081
5,2,4,False,True,0.47794605240622223,0.1777020474877703,0.5165980305168454,5.890709593447186e-05,0.5233786701318719,0.59,0.09747535606725624,0.022238191960622693,0.49208427451308145,0.5246689385753669
6,2,4,False,True,0.4267168055739424,0.45269649166371323,0.4854396949147518,0.0011408564409645067,0.4901345062221633,0.58,0.06994192288472272,0.0003617088479063285,0.4958587980691735,0.4
7,2,4,False,True,0.0570575593853242,0.09412630913608994,0.2963117764415698,0.2637405572543342,0.867442674800114,0.8926123714950444,0.8223553915721664,0.6706556862711258,0.664064814960796,0.655052846696098
8,2,4,False,True,0.22238013835303438,0.16131758135441088,0.5277659305146891,0.0022111788256929414,0.5147938886457376,0.553328595849409,0.31010230271782474,0.016374673094330373,0.4769881745892724,0.4551604725593677
9,2,4,False,True,0.2874442826584125,0.2848258082936159,0.3277095230321509,0.0007149367028718821,0.4979927340128347,0.53,0.2728399645452776,0.0001819252035226242,0.48906069676682556,0.44
10,2,4,False,True,0.2848111490291741,0.4483398860769639,0.19354211126508253,0.014595039207879652,0.4939987032993189,0.5414556655291247,0.08151300750799648,0.008139606555250232,0.5004130952417611,0.5
11,2,4,False,True,0.15382267464625665,0.03100260555369022,0.10706496378179302,0.1318135401052439,0.7074799331103498,0.7330795057889117,0.33263680505034976,0.4029273959081847,0.5483370239538347,0.6035686190565442
12,2,4,False,True,0.21065911872200593,0.028879349793944076,0.29343519762224274,0.022034133043115554,0.5327723736232607,0.4736802264383398,0.2297422248262638,0.03745609125081705,0.5041140761326498,0.46613791209890687
13,2,4,False,True,0.07584130169780823,0.3474867194716831,0.16316671007962832,0.011924038311129028,0.4457118432090055,0.3307031538964247,0.2932836627831373,0.0023791827257533308,0.5089065876514869,0.55
14,2,4,False,True,0.0578309809642108,0.27167038235238294,0.16915996351462997,0.3553807786947246,0.47138383128683653,0.4818315525636209,0.303693485964938,0.0001612963649918554,0.7866324498382429,0.83
15,2,4,False,True,0.32552044655347745,0.15485491327288825,0.1141631711852523,0.014660253361660597,0.5381453196941054,0.56,0.1650946463926381,0.02947177642506316,0.45710968110523964,0.44283482081450687
16,2,4,False,True,0.28621132167590296,0.22629622518687342,0.1849758491402249,0.014437636850127795,0.49697681734200133,0.567137886783241,0.7415656436560274,0.007318931892011818,0.5015712971851641,0.48
17,2,4,False,True,0.39527917886369746,0.42640512974924744,0.2586066500577324,0.006556236486417844,0.495212401114613,0.49604720821136306,0.2081716410165122,0.0006359667703819668,0.496337019993978,0.51
18,2,4,False,True,0.01773509108894411,0.26912056246623983,0.114545169174881,0.04325831478908402,0.49062244342123523,0.4643247708515379,0.01859456442998105,0.004648128504274681,0.5175660569388841,0.5846175887506752
19,2,4,False,True,0.4583001218786588,0.14833199212145193,0.21098271249801445,0.0029825360301980134,0.8264127092321644,0.84,0.7407414220659777,0.3789066061897741,0.4025241568374284,0.4343506840180595
20,2,4,False,True,0.4195451846926396,0.18711442078902524,0.1667433122771364,0.0045430024415190505,0.5711597294855203,0.64,0.1459600563338268,0.06753989807566319,0.47750267735378354,0.4487731347526585
21,2,4,False,True,0.2798965717446451,0.46709705255481154,0.13554747224829194,0.0078077608417965886,0.49588985136577085,0.59,0.18154026533735662,0.002082557911691111,0.5023243856214594,0.46
22,2,4,False,True,0.44107568669060915,0.10771757905082291,0.12758245427087922,0.0007216591407869407,0.6874973107832735,0.72,0.04844771500475319,0.1312159020847616,0.43983736839354376,0.45122167154170384
23,2,4,False,True,0.29974678546673184,0.2936895581563243,0.23604856169169364,0.00011510632774450751,0.494423950146719,0.4740050642906654,0.257904188879828,0.004752041571866398,0.49568445831573515,0.5070631044184367
24,2,4,False,True,0.0334350059234208,0.3643803195455198,0.41439220456207526,0.28180404543179244,0.4663964226017968,0.4369298459128397,0.2245333039039851,0.0005723289040017948,0.7141890492011362,0.74
25,2,4,False,True,0.2583766632514784,0.06652540329100226,0.5236479992617933,0.029982695213876115,0.5060231656092806,0.5644974002049112,0.18534274338762283,0.03595530929166174,0.5099527570474872,0.45068644353925963
26,2,4,False,True,0.11731767415133049,0.49718601035523485,0.2909944969525201,0.07444453227267782,0.4627053122393084,0.39776563730552106,0.4007449055728224,0.0010720583725349643,0.6182637885492593,0.61
27,2,4,False,True,0.22632007368772183,0.4572396375778254,0.11452349502476471,0.12081547907299127,0.4650457014331807,0.4728415911574734,0.10141533579844464,0.008658758822983326,0.6142246400228861,0.56
28,2,4,False,True,0.19896804866735712,0.3629444143218554,0.3399414920115474,0.0336794801801765,0.49991196671959176,0.46607223659328495,0.07826051036666927,0.010917065391238063,0.5257944116593423,0.4963705558567814
29,2,4,False,True,0.04903421549067566,0.49379305230811216,0.06898274404366966,0.01354982338833128,0.4563522689312387,0.5102822854525526,0.08977916845230953,0.00038748039165771445,0.5163853796018437,0.44
30,2,4,False,True,0.012087764009239221,0.29348539007268515,0.17087538460428403,0.1022953993910161,0.4926232980054623,0.5611759322732555,0.31284077966952506,0.010177765655914215,0.5988433214184008,0.62
31,2,4,False,True,0.01408138341493409,0.14556639633021312,0.6102001418077306,0.24852367317467633,0.4913678014780898,0.524226632799877,0.54548371287458,0.02389509991238839,0.6796165549930294,0.7570886720733958
32,2,4,False,True,0.26628966340493826,0.140990113103237,0.5545626822281081,0.014344150263636493,0.5250424631033331,0.6073371033659506,0.21357811422602616,0.053601207343448476,0.48948601721162505,0.47603168077244973
33,2,4,False,True,0.4021454656743583,0.23295969420945395,0.4289716508993681,3.7190257310051523e-07,0.5053957090686513,0.38,0.37625861587716686,0.0007175019391481526,0.4830460482303236,0.39068161223162184
34,2,4,False,True,0.16965056438397536,0.31528220074107743,0.3741363929175875,0.012312674785727874,0.4582940886530251,0.5526768758355254,0.19434785894518886,0.0074143917193499635,0.48752106511229276,0.52
35,2,4,False,True,0.15015798814416242,0.48919139806854206,0.36340840582879563,0.017168933902427,0.4811007968658398,0.6009905207113503,0.35436676911085935,0.0005799173486529072,0.5194216172038629,0.54
36,2,4,False,True,0.037853353966791625,0.37146894102217637,0.08043648597224563,0.10042362901957341,0.4812719414810592,0.4678246491282272,0.30309821548057153,0.012804162433736438,0.6046391239798188,0.6
37,2,4,False,True,0.3273324344624231,0.25165513340139345,0.5879619903913393,0.004307801043915101,0.5074684102471283,0.49,0.4502177098812189,0.011725966760471869,0.4901496764589587,0.53
38,2,4,False,True,0.27216649017730027,0.3462408585390669,0.5676055454356103,0.004989409194044127,0.4992321515354575,0.54,0.43555278949745446,0.0031699160517102316,0.5011993213033953,0.46
39,2,4,False,True,0.31134092568043914,0.14709066836495588,0.1319289883538597,0.006958626513606941,0.5025129816323791,0.51,0.1230095770238683,0.009884645268012898,0.47800477605081415,0.4638200264798549
40,2,4,False,True,0.11849975712630517,0.21831119496398382,0.21138223404559064,0.39679400872812687,0.7420260280353183,0.7844500728621085,0.33405891245206776,0.32691430077371847,0.7073184347441202,0.6583092981151267
41,2,4,False,True,0.031955873792004874,0.22561522696519498,0.4910313458451302,0.10535139874205914,0.5126583791128544,0.551146034462717,0.15638293841695555,0.041905884085905815,0.5742118206689615,0.49262080233730904
42,2,4,False,True,0.09470418370299732,0.2739308099767959,0.2342503264327036,0.06796057996441189,0.44401966585881847,0.47465411324493195,0.05596343700576445,0.008594817005037862,0.5489725033767054,0.6163034595011602
43,2,4,False,True,0.32085479405823714,0.29898794812644547,0.1503037808336352,0.019134721154396368,0.4898540317927033,0.48,0.09674866604760649,0.0036502861718876595,0.5048574072922252,0.5270101205187355
44,2,4,False,True,0.27073651018691725,0.3772975794396373,0.02535447929781669,0.09494711716933996,0.46613086257561664,0.3956337140831775,0.30083662339241724,0.004072417103220858,0.5746721062177544,0.5162270242056036
45,2,4,False,True,0.2112992404156348,0.3449865416854921,0.2131706970348604,0.08426653579770928,0.5809629750046553,0.5798531443210294,0.12645016426341368,0.13926141162336714,0.5173163289849417,0.5027506729157254
46,2,4,False,True,0.19074187909952972,0.38459747209057127,0.0519602996710263,0.0230562430414823,0.48054600217017496,0.4566480684630329,0.28512129747058834,0.006855668460625175,0.4964078642679305,0.59
47,2,4,False,True,0.05527515961751234,0.2627872526879028,0.11612924564584677,0.3459967853817313,0.5071874369131643,0.50733718455682,0.4754909370613512,0.04183416610048265,0.7886169012774317,0.7842327648387258
48,2,4,False,True,0.3882246169838922,0.46128893760883616,0.15135231806197555,0.0038227405788128365,0.48728242768111274,0.46,0.20872920608972664,1.7596813577358754e-05,0.5018925821686303,0.49
49,2,4,False,True,0.439940889582962,0.12508861883055605,0.1893252007515241,3.465738796113712e-05,0.6914081063987507,0.7,0.40539212093571075,0.16920843046387202,0.4631843635212985,0.4487207557859165
50,2,4,False,True,0.3551859584643366,0.24958731035942378,0.06572635290256192,0.001393797520859539,0.4960585123322853,0.5164481404153567,0.508578871264378,7.330321875646735e-05,0.4907786729378011,0.47
51,2,4,False,True,0.4236182888482099,0.24725852185968522,0.10887278946177859,0.005068593796473854,0.507229797229251,0.48,0.6120696137618049,0.02356566067235912,0.4834024787335247,0.49752741478140317
52,2,4,False,True,0.0738239524946781,0.4727883376227009,0.03748918515472956,0.14832240707341426,0.44371370933453624,0.5642291494532996,0.35485219407136936,0.002293743350851057,0.6767523853093128,0.65
53,2,4,False,True,0.19256996114147323,0.33902195063644763,0.6840996726799387,0.033417479196007266,0.459824145389556,0.5330402054401938,0.3175266937119364,0.0033353499163312635,0.5419353792714996,0.61
54,2,4,False,True,0.4322366579898018,0.10723713115616923,0.28305883502242296,0.00015690305672478252,0.8695219740156183,0.87,0.24521258774345744,0.5703213033469132,0.43748819862647187,0.5153090631103538
55,2,4,False,True,0.009985685284889356,0.23944662630441244,0.0,0.06875472800800728,0.6941801821611691,0.6079030060901732,0.18377102610528512,0.23846083650529834,0.5383229835537456,0.5564774723173822
56,2,4,False,True,0.49357004456510256,0.2734463279474923,0.19830551545654745,0.0005209837848461083,0.49506864687076124,0.53,0.5926531408779354,0.0074248170322844375,0.4666903954500122,0.46085875704367557
