iteration,n_signaling_actions,n_final_actions,full_information,with_signals,Agent_0_Initial_NMI,Agent_0_NMI,Agent_0_avg_reward,Agent_0_final_reward,Agent_1_Initial_NMI,Agent_1_NMI,Agent_1_avg_reward,Agent_1_final_reward
0,4,8,False,False,,,0.4841,0.47,,,0.4795,0.51
0,4,8,False,True,0.41084214725211315,0.1890210931976037,0.6797,0.68,0.2155397332560817,0.19693712547443876,0.7029,0.79
0,4,8,True,False,,,0.9551,1.0,,,0.9597,1.0
0,4,8,True,True,0.48983710649615253,0.12848282638729258,0.8787,0.97,0.34674605133851516,0.11090030825951397,0.8777,1.0
1,4,8,False,False,,,0.4752,0.54,,,0.4893,0.47
1,4,8,False,True,0.5332555976958578,0.21035789763693846,0.7163,0.86,0.3415909035998466,0.23844024992228152,0.6237,0.75
1,4,8,True,False,,,0.9547,0.99,,,0.9516,0.98
1,4,8,True,True,0.6160668684506782,0.14374776238671205,0.8771,0.99,0.4497471160075627,0.12015287012235025,0.8816,0.96
2,4,8,False,False,,,0.4846,0.59,,,0.4787,0.47
2,4,8,False,True,0.6738290877418622,0.134634164956974,0.6147,0.69,0.49472354512304395,0.12574570528194934,0.6499,0.68
2,4,8,True,False,,,0.9625,1.0,,,0.9528,1.0
2,4,8,True,True,0.6371254542804721,0.10444453986835182,0.8702,0.97,0.7556965177612633,0.10226884234363595,0.8799,0.94
3,4,8,False,False,,,0.4912,0.54,,,0.4811,0.49
3,4,8,False,True,0.46356107473489977,0.24063345556828591,0.6441,0.73,0.32731754255749723,0.12827312040598118,0.7407,0.78
3,4,8,True,False,,,0.965,0.98,,,0.9595,0.99
3,4,8,True,True,0.5328413377419747,0.14472983321983743,0.8731,0.95,0.38227006541514413,0.12858119799877887,0.8777,0.98
4,4,8,False,False,,,0.4862,0.49,,,0.4873,0.51
4,4,8,False,True,0.14757265226553376,0.11380240746010102,0.5715,0.65,0.5595239808415642,0.1485153909098967,0.4983,0.49
4,4,8,True,False,,,0.9615,0.99,,,0.9595,1.0
4,4,8,True,True,0.25118584190991355,0.09390945070669407,0.87,0.98,0.5799474619395899,0.09403748742174833,0.8615,0.98
5,4,8,False,False,,,0.4788,0.48,,,0.4827,0.46
5,4,8,False,True,0.5259778225184568,0.18587920017597884,0.644,0.72,0.21495931438531274,0.18114420886296867,0.6429,0.74
5,4,8,True,False,,,0.955,0.97,,,0.9566,1.0
5,4,8,True,True,0.5619060925926465,0.19239767076869743,0.8775,1.0,0.3930064256601584,0.09351780105492828,0.8858,0.96
6,4,8,False,False,,,0.4801,0.5,,,0.4803,0.57
6,4,8,False,True,0.5959192409322717,0.13492064229949954,0.6747,0.7,0.3442864080362059,0.20560654702700706,0.6151,0.7
6,4,8,True,False,,,0.9583,1.0,,,0.9615,1.0
6,4,8,True,True,0.6432219126971178,0.11371805834712077,0.8833,0.97,0.583922390099096,0.1798192957531885,0.8783,1.0
7,4,8,False,False,,,0.4823,0.44,,,0.4819,0.5
7,4,8,False,True,0.2716451540173871,0.22502412151971185,0.6809,0.75,0.3539246764756925,0.22400150624846937,0.6533,0.8
7,4,8,True,False,,,0.9614,1.0,,,0.9606,1.0
7,4,8,True,True,0.27437130176502544,0.08610353253409643,0.8703,0.98,0.4579798256609943,0.11863139962138276,0.8685,0.99
8,4,8,False,False,,,0.482,0.51,,,0.484,0.49
8,4,8,False,True,0.461225395353314,0.08061233918117532,0.6656,0.71,0.6496459740906237,0.18047568761235372,0.5612,0.66
8,4,8,True,False,,,0.957,1.0,,,0.9611,1.0
8,4,8,True,True,0.4908048106964083,0.08685290185534544,0.8702,0.99,0.6559112603733775,0.11970292251617229,0.868,0.97
9,4,8,False,False,,,0.4817,0.57,,,0.4916,0.48
9,4,8,False,True,0.7034058933613753,0.11176998154469596,0.5616,0.59,0.3443531291056231,0.18765387133824693,0.5939,0.65
9,4,8,True,False,,,0.9564,0.98,,,0.9596,1.0
9,4,8,True,True,0.7085232577948215,0.10986625724304433,0.877,0.99,0.4078677479344218,0.1404181508099781,0.8724,0.96
10,4,8,False,False,,,0.4852,0.48,,,0.4786,0.49
10,4,8,False,True,0.30765582094949956,0.17017629955874347,0.5738,0.66,0.49191499409725636,0.10810189382948968,0.6404,0.75
10,4,8,True,False,,,0.9574,0.97,,,0.9527,1.0
10,4,8,True,True,0.3194961657182732,0.11070469352428709,0.8764,0.98,0.45115303647344646,0.08989781645970167,0.8777,0.98
11,4,8,False,False,,,0.4912,0.59,,,0.4781,0.53
