iteration,n_signaling_actions,n_final_actions,full_information,with_signals,Agent_0_Initial_NMI,Agent_0_NMI,Agent_0_avg_reward,Agent_0_final_reward,Agent_1_Initial_NMI,Agent_1_NMI,Agent_1_avg_reward,Agent_1_final_reward
0,4,8,False,False,0.3282015512453116,0.0001449265278656,5.2861,5.53,0.4495554495159989,0.0005872957012646,6.791,7.13
0,4,8,False,True,0.5474469479889891,0.5503766623281842,6.9115,6.93,0.8029665119595899,0.486891904034596,6.7822,6.94
0,4,8,True,False,0.7283942395063489,0.0003429176395048,7.8691,8.08,0.69468323420612,0.0003960187360932,7.1386,7.45
0,4,8,True,True,0.2618493060540776,0.3360495976893726,7.3133,7.53,0.4695508791409939,0.3256546638227332,7.0651,7.24
0,4,8,False,False,0.4979517790814338,0.0005964508093535,5.7488,5.43,0.7273326950938466,0.0002567173409897,6.1938,6.38
0,4,8,False,True,0.8752374755400414,0.541642942859952,6.5878,7.12,0.7021411856248296,0.5626077926095807,6.8338,7.13
0,4,8,True,False,0.6067454835303129,0.0004799419066379,6.7077,7.07,0.5832289409673778,0.0006394521349199,7.1447,7.11
0,4,8,True,True,0.2970592965738895,0.3716396120954383,6.7749,6.92,0.6143066986599867,0.3677462554261779,7.0025,7.12
0,4,8,False,False,0.4560667799144902,0.00028604219700015357,5.6464,5.69,0.5098597025944787,0.0002749702207138136,6.5225,6.25
0,4,8,False,True,0.5793152705130924,0.5206404099379973,6.7283,6.76,0.6912369989263425,0.3894893994619614,6.7897,6.83
0,4,8,True,False,0.5172374198244901,0.0004795368828353992,7.1991,7.42,0.623299980415801,0.00048463597892805957,7.0158,7.28
0,4,8,True,True,0.5980065855586068,0.31594208159810133,6.9465,7.19,0.5051591505105294,0.3610153391518153,6.9326,7.13
1,4,8,False,False,0.6488850635186202,0.00044625942326102417,6.9352,6.77,0.2673370330520165,0.00024973022162824677,6.4881,6.47
1,4,8,False,True,0.7355562904228579,0.2750800337071457,7.8439,7.95,0.18799637580697312,0.354593641737211,6.1313,5.97
1,4,8,True,False,0.6823244925920028,0.0007294436755438906,7.4198,7.78,0.6279400558335071,0.0005599343382586524,6.8173,7.04
1,4,8,True,True,0.55903285551946,0.38288007505700294,7.7379,8.01,0.7373905251913668,0.30068616931603953,6.9827,7.09
2,4,8,False,False,0.4730109193485255,0.0003312185257129329,6.6727,6.75,0.41335057130189157,0.0003366797837314941,6.1735,6.22
2,4,8,False,True,0.3035786062787452,0.6682485936787667,5.7684,6.27,0.21320283024905304,0.1620478101912603,6.7471,6.89
2,4,8,True,False,0.6439217865548819,0.0006149930574402602,6.8528,7.02,0.41448693426179767,0.0006263957712013599,6.6586,6.97
2,4,8,True,True,0.5686989275678147,0.42027537972020845,6.9617,7.08,0.5182855490652812,0.2672779544342383,6.9985,7.09
