iteration,n_signaling_actions,n_final_actions,full_information,with_signals,Agent_0_Initial_NMI,Agent_0_NMI,Agent_0_avg_reward,Agent_0_final_reward,Agent_1_Initial_NMI,Agent_1_NMI,Agent_1_avg_reward,Agent_1_final_reward
0,2,4,False,False,0.05764083038149822,0.025546492028499485,0.492,0.56,0.17357573259369768,0.07599192810280363,0.4942,0.47
0,2,4,False,True,0.4809857487598733,0.009726881002789218,0.5535,0.6,0.1384823433578275,0.04395535188448701,0.5268,0.51
0,2,4,True,False,0.22165994229108996,0.16959104475280593,0.9878,0.99,0.1048908162704704,0.06795065190122541,0.9927,1.0
0,2,4,True,True,0.37598726312149283,0.15150992225699877,0.981,1.0,0.24642449400792735,0.11555096438019452,0.9812,1.0
1,2,4,False,False,0.1004019410756758,0.3237317522358836,0.4908,0.47,0.12233137695613872,0.15053653580277027,0.4972,0.56
1,2,4,False,True,0.052642986857240115,0.28660793360627207,0.5679,0.65,0.10614757227283707,0.047944911798243124,0.7655,0.69
1,2,4,True,False,0.5174329031879954,0.2454886431133319,0.99,1.0,0.2167940066845563,0.2584555083731315,0.9906,1.0
1,2,4,True,True,0.14020292761814246,0.054816454256134024,0.9852,1.0,0.08639821320325056,0.003649540200957823,0.9816,1.0
2,2,4,False,False,0.04599913518388991,0.39716162039847874,0.4912,0.46,0.2844502440986122,0.09211207155874775,0.497,0.47
2,2,4,False,True,0.4930529596573347,0.11703478797119157,0.6128,0.78,0.2571118955784574,0.08240485103197664,0.6729,0.73
2,2,4,True,False,0.23421837462520773,0.047776772861074006,0.988,1.0,0.2138022605842956,0.039370966979790555,0.9912,1.0
2,2,4,True,True,0.3783533396979005,0.13175093279182007,0.9851,1.0,0.4030397703688734,0.07443689369135495,0.9817,1.0
3,2,4,False,False,0.22480394183455094,0.1474473869890665,0.495,0.56,0.07418899904371248,0.0054242670879266364,0.4915,0.51
3,2,4,False,True,0.10476029765809172,0.00013332036194274168,0.6085,0.67,0.24986755526602825,0.07638514425717938,0.4996,0.52
